config,model,properties_checked,result,states_generated,distinct_states,depth,runtime
ChordStatic.cfg,ChordStatic.tla,"TypeOK; LookupCorrect",Passed,117505,20736,21,02s
configs/static-m2-basic.cfg,ChordStatic.tla,"TypeOK; LookupCorrect",Passed,117505,20736,21,02s
configs/static-m3-one-query.cfg,ChordStatic.tla,"TypeOK; LookupCorrect",Passed,1585,67,5,01s
configs/static-m3-wrap-one-query.cfg,ChordStatic.tla,"TypeOK; LookupCorrect",Passed,1537,65,4,01s
configs/static-m3-one-query-runtime.cfg,ChordStatic.tla,"runtime coverage: StartQuery; AdvanceQuery",Passed,1585,67,5,01s
configs/dynamic-m3-one-join.cfg,ChordDynamic.tla,"TypeOK; deadlock; EventuallyStableAfterJoins",Passed,51409,6516,21,01s
ChordDynamic.cfg,ChordDynamic.tla,"TypeOK; deadlock; EventuallyStableAfterJoins",Passed,51409,6516,21,01s
configs/dynamic-m3-one-join-runtime.cfg,ChordDynamic.tla,"runtime coverage: Join; Stabilize; DeliverNotify; FixFingers; deadlock",Passed,51409,6516,21,03s
configs/dynamic-m3-one-join-invariant.cfg,ChordDynamic.tla,"TypeOK; SuccessorCoreReachable; deadlock",Passed,51409,6516,21,03s
configs/dynamic-m3-two-joins-invariant.cfg,ChordDynamic.tla,"TypeOK; SuccessorCoreReachable; deadlock",Passed,25309837,2345796,35,"01min 00s"
configs/dynamic-m3-two-joins.cfg,ChordDynamic.tla,"TypeOK; deadlock; EventuallyStableAfterJoins",Passed,25309837,2345796,35,"21min 33s"
